problem,month,optical_eff,cosine_eff,shadow_eff,atmospheric_eff,trunc_eff,power_MW,unit_power_kW_m2
1,1,0.5466652216339092,0.719935764230188,0.95,0.9651603367995296,0.9,29.883164433008723,0.47569507215868706
1,2,0.562246531359081,0.7404403532037784,0.95,0.9651603367995296,0.9,33.296432966728474,0.530029178075907
1,3,0.5779751820485806,0.7611400153929363,0.95,0.9651603367995296,0.9,36.11396236793473,0.574880012224367
1,4,0.5918038361252587,0.7793399687370515,0.95,0.9651603367995296,0.9,38.25794889920987,0.6090090560205328
1,5,0.5993843529586067,0.7893169789883199,0.95,0.9651603367995296,0.9,39.33972950491359,0.6262293776649729
1,6,0.6016955118187223,0.7923588160987858,0.95,0.9651603367995296,0.9,39.65904387454919,0.6313123825939063
1,7,0.5993044756407616,0.7892118485227697,0.95,0.9651603367995296,0.9,39.32861266551363,0.6260524142870684
1,8,0.5912696759128755,0.7786369463472501,0.95,0.9651603367995296,0.9,38.179518636882335,0.6077605641019156
1,9,0.5771788505225259,0.7600919805120643,0.95,0.9651603367995296,0.9,35.98233108192937,0.5727846399543038
1,10,0.5602671020115565,0.7378354064925948,0.95,0.9651603367995296,0.9,32.90344485220839,0.5237733978384016
1,11,0.545342843024578,0.7181956127447962,0.95,0.9651603367995296,0.9,29.554011337181258,0.47045544949349344
1,12,0.539937181196795,0.7110822833457547,0.95,0.9651603367995296,0.9,28.128424215516908,0.44776224475512433
2,1,0.6019178023690334,0.7931052078611001,0.95,0.9650339272793789,0.9,53.292960613902736,0.5240418562569101
2,2,0.6078626985781759,0.80086780723429,0.95,0.9650339272793789,0.9,58.29622951150226,0.5732401423015877
2,3,0.6122223498296874,0.8065334057107645,0.95,0.9650339272793789,0.9,61.94347291840552,0.6091043199182418
2,4,0.613553685231227,0.8082061643241586,0.95,0.9650339272793789,0.9,64.22241708110882,0.6315136984847862
2,5,0.6121149661017132,0.8062550065107601,0.95,0.9650339272793789,0.9,65.04789153785178,0.639630777393917
2,6,0.6110154516452322,0.8047860202020214,0.95,0.9650339272793789,0.9,65.20587300623367,0.6411842452626817
2,7,0.6121452920940899,0.8062956255474771,0.95,0.9650339272793789,0.9,65.04142561326356,0.6395671964803292
2,8,0.6135748012906956,0.8082374931940608,0.95,0.9650339272793789,0.9,64.15103030262122,0.6308117359839248
2,9,0.6120572294320529,0.8063200940220087,0.95,0.9650339272793789,0.9,61.786450277393655,0.6075602804180464
2,10,0.6071811901786244,0.7999791263985968,0.95,0.9650339272793789,0.9,57.747774999405955,0.5678470637921448
2,11,0.6013590739682129,0.7923747647989503,0.95,0.9650339272793789,0.9,52.78554884476155,0.5190523604149775
2,12,0.5990001527080064,0.7892897928938334,0.95,0.9650339272793789,0.9,50.54689841802001,0.4970391993590702
3,1,0.6019178023690334,0.7931052078611001,0.95,0.9650339272793789,0.9,53.292960613902736,0.5240418562569101
3,2,0.6078626985781759,0.80086780723429,0.95,0.9650339272793789,0.9,58.29622951150226,0.5732401423015877
3,3,0.6122223498296874,0.8065334057107645,0.95,0.9650339272793789,0.9,61.94347291840552,0.6091043199182418
3,4,0.613553685231227,0.8082061643241586,0.95,0.9650339272793789,0.9,64.22241708110882,0.6315136984847862
3,5,0.6121149661017132,0.8062550065107601,0.95,0.9650339272793789,0.9,65.04789153785178,0.639630777393917
3,6,0.6110154516452322,0.8047860202020214,0.95,0.9650339272793789,0.9,65.20587300623367,0.6411842452626817
3,7,0.6121452920940899,0.8062956255474771,0.95,0.9650339272793789,0.9,65.04142561326356,0.6395671964803292
3,8,0.6135748012906956,0.8082374931940608,0.95,0.9650339272793789,0.9,64.15103030262122,0.6308117359839248
3,9,0.6120572294320529,0.8063200940220087,0.95,0.9650339272793789,0.9,61.786450277393655,0.6075602804180464
3,10,0.6071811901786244,0.7999791263985968,0.95,0.9650339272793789,0.9,57.747774999405955,0.5678470637921448
3,11,0.6013590739682129,0.7923747647989503,0.95,0.9650339272793789,0.9,52.78554884476155,0.5190523604149775
3,12,0.5990001527080064,0.7892897928938334,0.95,0.9650339272793789,0.9,50.54689841802001,0.4970391993590702
