month,time,dni,optical,cosine,shadow_block,intercept,atmospheric,power_MW,unit_kW_m2,optical_count,cosine_count,shadow_block_count,intercept_count
1,9,0.79253968416,0.505685278165,0.746455693953,0.797686787273,0.993555864324,0.963785693377,41.4203638816,0.400775650642,0.504575787502,0.74736184253,0.795483360703,0.993300277433
1,10.5,0.910091145485,0.587375790463,0.778328280249,0.874695089087,0.991021417497,0.963785693377,55.247612325,0.534565505972,0.585114124874,0.779209495614,0.871156237925,0.99075548665
1,12,0.939184036289,0.603931213785,0.789306845644,0.884836731942,0.989283551223,0.963785693377,58.6206676609,0.567202555003,0.601423154811,0.790177189174,0.881058913736,0.989034070443
1,13.5,0.910091145485,0.587390677637,0.778337853568,0.874681750593,0.991063172487,0.963785693377,55.2490125884,0.534579054658,0.58512178225,0.779211095298,0.871145672334,0.990798412493
1,15,0.79253968416,0.505681977062,0.746474006573,0.797649923044,0.993559490873,0.963785693377,41.4200934904,0.400773034386,0.504609810049,0.747364929898,0.795513548107,0.993311379567
2,9,0.88757144081,0.565367943713,0.758349127974,0.866460660733,0.992037088122,0.963785693377,51.8617398165,0.501804440389,0.563381780493,0.758954115427,0.86341890456,0.991821663422
2,10.5,0.97080003701,0.611862459344,0.791416240987,0.89300230813,0.988373899519,0.963785693377,61.3897937445,0.593996098176,0.609369201871,0.792015970317,0.88948602927,0.988152417284
2,12,0.992177191786,0.621253647357,0.802778483294,0.893557648591,0.987199583246,0.963785693377,63.7045970114,0.616393699221,0.618834242494,0.803373191515,0.890203281974,0.986978115823
2,13.5,0.97080003701,0.611830987854,0.791426803562,0.893029895178,0.988293781981,0.963785693377,61.3866361259,0.593965545652,0.609340914233,0.792017672031,0.889530404753,0.988076931713
2,15,0.88757144081,0.565410142945,0.758369299251,0.866484960698,0.992026604499,0.963785693377,51.8656107922,0.501841895222,0.563415244586,0.758957412267,0.863459959428,0.991809880778
3,9,0.954822012882,0.596745966664,0.769210551142,0.89622507576,0.98921887362,0.963785693377,58.88768712,0.569786185069,0.594269807554,0.7694537508,0.892968146252,0.989057909931
3,10.5,1.01478034023,0.62492305498,0.802626082168,0.898180129545,0.985986000089,0.963785693377,65.5407148766,0.634159630351,0.622677113681,0.802887981378,0.895326386206,0.985804566479
3,12,1.03080134105,0.634861590365,0.814092346072,0.898811208747,0.985421885991,0.963785693377,67.6342392798,0.65441617873,0.632795986479,0.814356430072,0.896250422624,0.985216898153
3,13.5,1.01478034023,0.624921817813,0.802637638239,0.898128025203,0.986052560269,0.963785693377,65.540585125,0.634158374899,0.622683489108,0.802889765243,0.895297708172,0.9858785554
3,15,0.954822012882,0.596741416899,0.769232863718,0.896183049996,0.989210855388,0.963785693377,58.8872381431,0.569781840853,0.594248994697,0.769457220622,0.892936147604,0.989052238244
4,9,0.999277479237,0.608116110375,0.777004425203,0.902918120227,0.986772976603,0.963785693377,62.8036942828,0.60767673386,0.605778464274,0.776844383083,0.900259007921,0.986691723731
4,10.5,1.04404303235,0.636560322535,0.809582685001,0.904691650961,0.985361870213,0.963785693377,68.6863670768,0.664596369411,0.634668901854,0.80946631234,0.90269845199,0.985170838674
4,12,1.05645268861,0.648261097322,0.820760464091,0.907220219245,0.985683112158,0.963785693377,70.7803318975,0.684857179187,0.646679768579,0.820653941624,0.905698778014,0.985428994798
4,13.5,1.04404303235,0.636525209565,0.809595086102,0.904623070455,0.985352127499,0.963785693377,68.6825783042,0.66455970996,0.634621193899,0.809468137531,0.902635662191,0.985158133143
4,15,0.999277479237,0.608072100593,0.777028762596,0.90286717044,0.986727545709,0.963785693377,62.7991491361,0.607632755875,0.605720627735,0.776847946616,0.900225801777,0.986643952468
5,9,1.0199091179,0.613218950537,0.779755606451,0.906302634078,0.985796894884,0.963785693377,64.6382550624,0.625427598922,0.611025124004,0.77930285761,0.904176125386,0.985729298922
5,10.5,1.05724714116,0.643484460759,0.810962752959,0.910996249139,0.985768482598,0.963785693377,70.3116298699,0.68032210652,0.641863271631,0.810569421879,0.909681704019,0.985550420951
5,12,1.06784732468,0.656896984532,0.821677266712,0.91581296682,0.986650216175,0.963785693377,72.4968295384,0.701465687523,0.655588714953,0.821298773064,0.914985630796,0.986322169196
5,13.5,1.05724714116,0.643378492299,0.810975547268,0.910891076064,0.985698911276,0.963785693377,70.300051012,0.680210071669,0.641735495948,0.81057124208,0.909574538736,0.985473752795
5,15,1.0199091179,0.613209191315,0.779780963238,0.906326608052,0.985741323584,0.963785693377,64.6372263611,0.625417645402,0.610994156539,0.779306419241,0.904198162191,0.985684501544
6,9,1.02588144534,0.614770057847,0.780131500127,0.907786589092,0.985559818823,0.963785693377,65.1812168949,0.630681195494,0.6126264028,0.779568023467,0.905845790668,0.985509079979
6,10.5,1.06089987163,0.645701855565,0.810652760212,0.913766390863,0.986013802052,0.963785693377,70.797677883,0.685025015679,0.644138207726,0.810153936085,0.912669653207,0.985772287558
6,12,1.07092807872,0.659586705232,0.821135998506,0.919335483828,0.987068566033,0.963785693377,73.0036847253,0.706369922983,0.658309815702,0.82065371506,0.918676946484,0.986721539007
6,13.5,1.06089987163,0.645556431216,0.810665642503,0.913579285204,0.985975528904,0.963785693377,70.7817328982,0.684870735006,0.64396221198,0.810155745975,0.912455926391,0.985735507593
6,15,1.02588144534,0.614761741014,0.780157104561,0.907732963456,0.985570763423,0.963785693377,65.1803350998,0.63067266341,0.612577104265,0.779571567387,0.905786321484,0.985500895183
7,9,1.01970089555,0.613173292124,0.779737242585,0.906291808437,0.98580891649,0.963785693377,64.6202468768,0.625253355105,0.610971114736,0.779288072241,0.904148352975,0.985742773446
7,10.5,1.05711768532,0.643404973935,0.810965011413,0.910939893322,0.985717415079,0.963785693377,70.2943362566,0.68015477677,0.641783494699,0.810575082358,0.909627668566,0.985493578129
7,12,1.06773723073,0.656825835676,0.82168648059,0.915720711166,0.986653276772,0.963785693377,72.4815038306,0.701317398857,0.655512011372,0.821311332043,0.91487967301,0.986329339244
7,13.5,1.05711768532,0.643355053806,0.810977802272,0.910847162264,0.985718963624,0.963785693377,70.2888823006,0.680102005318,0.641697335103,0.810576902812,0.90951416393,0.985483757582
7,15,1.01970089555,0.613239846856,0.779762589968,0.906328523253,0.98582737547,0.963785693377,64.6272608535,0.625321221025,0.611017597734,0.779291634281,0.90418910597,0.985765548957
