problem,month,local_time,optical_eff,cosine_eff,shadow_block_eff,atmospheric_eff,trunc_eff,power_MW,unit_power_kW_m2,unshadowed_eff,sequential_blocking_loss,isolated_trunc_eff
q1,1,9.0,0.5068557231462347,0.7024362389775,0.8728236578605814,0.9651603367995297,0.9626552720203125,25.23499971898239,0.4017032747370645,0.9393747063260611,0.0665510484654797,0.9313770994685571
q1,1,10.5,0.5533405806844612,0.7285806295142496,0.9161733273728693,0.9651603367995297,0.9520019182157554,31.635546598544824,0.5035903629185741,0.9960426805350273,0.07986935316215815,0.9299541754412565
q1,1,12.0,0.562610969979844,0.7376450665973346,0.9202292439923574,0.9651603367995297,0.9497083923365152,33.193789080200325,0.5283952416459777,0.9985295500533424,0.07830030606098501,0.9289392218876052
q1,1,13.5,0.5544580373658154,0.7285806309884032,0.9170342461794024,0.9651603367995297,0.9518403355508275,31.699433748970524,0.5046073503497377,0.9958552337477075,0.07882098756830494,0.9299045561532475
q1,1,15.0,0.5088677293524949,0.7024362433635075,0.8740604003940698,0.9651603367995297,0.9626179671022419,25.33517216200898,0.40329786950030216,0.9396124032894251,0.06555200289535525,0.9313859886566037
q1,2,9.0,0.5452351470316055,0.7224441345174756,0.9096277623690449,0.9651603367995297,0.9538273221307202,30.400805810846467,0.48393514503098484,0.990286235555188,0.0806584731861432,0.9304275686964527
q1,2,10.5,0.5720609960968257,0.7493379420591105,0.9215725546434553,0.9651603367995297,0.9473139534142337,34.88751644899163,0.5553568361826112,0.9993390020166676,0.0777664473732124,0.9275408077459883
q1,2,12.0,0.5810678707748503,0.7586375942375939,0.9245508120517941,0.9651603367995297,0.9454410207982108,36.217130148651805,0.5765222882625247,0.9999961514214705,0.07544533936967643,0.9267367048010619
q1,2,13.5,0.5734175240797017,0.7493379442558882,0.9227429579560508,0.9651603367995297,0.9472306212988411,34.97024520106355,0.556673753598592,0.9993350859953857,0.07659212803933485,0.9275529752837325
q1,2,15.0,0.547710991655928,0.7224441402815145,0.9115139202132051,0.9651603367995297,0.9537922137053103,30.53885206859716,0.4861326340114161,0.9908154690014159,0.07930154878821073,0.930495576504692
q1,3,9.0,0.5655628540147418,0.7431561008944302,0.9173888299777472,0.9651603367995297,0.9488329478001407,33.92354521364658,0.5400118626814163,0.9991007130823037,0.08171188310455654,0.9282386272412717
q1,3,10.5,0.5904269955154177,0.7700353510782416,0.9249569066296616,0.9651603367995297,0.9439548291457027,37.638835898327685,0.599153707391399,1.0,0.0750430933703385,0.9265534582725666
q1,3,12.0,0.600111476423734,0.7793171543689007,0.9279949722217253,0.9651603367995297,0.9431707619575989,38.8601827960458,0.6185957146775835,1.0,0.07200502777827462,0.9271202387083883
q1,3,13.5,0.5916810603139976,0.7700353538422946,0.9259718644618764,0.9651603367995297,0.9439112405142358,37.718780649360646,0.6004263076943752,1.0,0.07402813553812364,0.9265544000736619
q1,3,15.0,0.5674477067358673,0.7431561075289831,0.9186900629338249,0.9651603367995297,0.9488327383556604,34.03660229660785,0.5418115615505866,0.9989311421178344,0.08024107918400943,0.9282446143879962
q1,4,9.0,0.581966884281682,0.7620274573979595,0.9206409506024171,0.9651603367995297,0.9452095193570305,36.53274491865135,0.5815464011246634,0.9999999301506405,0.07935897954822334,0.9265778021176071
q1,4,10.5,0.6076325222536292,0.7879034829629256,0.9276864023072375,0.9651603367995297,0.9429143618224805,39.85266255823666,0.6343945010862251,1.0,0.07231359769276247,0.928441641640411
q1,4,12.0,0.6183054463831148,0.7968379455127765,0.9308101662534594,0.9651603367995297,0.9435150876538606,41.03468054524788,0.6532104512137517,1.0,0.06918983374654063,0.9309645073413673
q1,4,13.5,0.6089397534262943,0.7879034860151726,0.9287956133331927,0.9651603367995297,0.9429441666615206,39.93839964587084,0.6357593066837127,1.0,0.07120438666680735,0.928452936091828
q1,4,15.0,0.583712242939664,0.7620274642285564,0.9216628678378452,0.9651603367995297,0.945320732101698,36.642309129890485,0.5832904987247769,0.9999999300790228,0.07833706224117745,0.9265787442592411
q1,5,9.0,0.5918625965541091,0.7728867894562268,0.9225275547582261,0.9651603367995297,0.943838219498087,37.92104541188802,0.6036460587693094,1.0,0.07747244524177374,0.9266503917440326
q1,5,10.5,0.6180866000380453,0.7974425461875547,0.9296526341558871,0.9651603367995297,0.943432473552989,41.05100367320763,0.6534702908820063,1.0,0.07034736584411293,0.9311822319924451
q1,5,12.0,0.629124340499509,0.8059262076818479,0.9325024005456903,0.9651603367995297,0.945028469966837,42.203025291387036,0.671808743893458,1.0,0.0674975994543096,0.9351128306779534
q1,5,13.5,0.6193151472750126,0.7974425492489,0.9306059033492307,0.9651603367995297,0.943519375865236,41.13259919256422,0.6547691689360748,1.0,0.06939409665076932,0.93118443984868
q1,5,15.0,0.5934945475136252,0.7728867960247097,0.923401480968366,0.9651603367995297,0.9440168663202891,38.02560563719383,0.6053105004328848,1.0,0.07659851903163394,0.9266509207302265
q1,6,9.0,0.5951417432903975,0.7763468596545773,0.9231744412756527,0.9651603367995297,0.9435165791236396,38.354428845698244,0.6105448717876193,1.0,0.07682555872434722,0.9268561396433316
q1,6,10.5,0.6214192319375395,0.8002766844523849,0.930323812381777,0.9651603367995297,0.9437682918546171,41.414938308539554,0.6592635833896777,1.0,0.06967618761822301,0.9322974220968749
q1,6,12.0,0.6325764036065743,0.8085469769670589,0.933140780518223,0.9651603367995297,0.9457113715713168,42.557021561299344,0.677443832558092,1.0,0.06685921948177694,0.9367194553550298
q1,6,13.5,0.6225966940441354,0.800276687477036,0.9311771519162048,0.9651603367995297,0.9438912930355695,41.49341113010522,0.6605127527874121,1.0,0.06882284808379521,0.932302918862632
q1,6,15.0,0.5967658515463509,0.7763468660486865,0.9240572144528455,0.9651603367995297,0.9437227459340821,38.459095919118916,0.612211014312622,1.0,0.07594278554715454,0.9268579977552885
q1,7,9.0,0.5917514865830662,0.7727689163955488,0.9225043282067775,0.9651603367995297,0.9438503897112054,37.90618609733912,0.6034095208108743,1.0,0.07749567179322253,0.9266452455255596
q1,7,10.5,0.6179716518749325,0.7973437434418694,0.9296326346680238,0.9651603367995297,0.9434188289765699,41.03834364288858,0.6532687622236322,1.0,0.07036736533197621,0.931142913439829
q1,7,12.0,0.6290003990653199,0.805833906946312,0.9324762147894543,0.9651603367995297,0.94500366551933,42.19036080031927,0.6716071442266678,1.0,0.06752378521054565,0.9350572008771422
q1,7,13.5,0.6192023949988295,0.7973437465040437,0.9305876153980078,0.9651603367995297,0.9435073049924169,41.1200749959391,0.6545698025459901,1.0,0.06941238460199217,0.9311490683774425
q1,7,15.0,0.5933834774444693,0.7727689229690167,0.9233784561976845,0.9651603367995297,0.9440293717113867,38.01072753188408,0.6050736633537739,1.0,0.0766215438023154,0.9266465009903168
q1,8,9.0,0.581315673299482,0.7612808204920065,0.9205289454457877,0.9651603367995297,0.9453305966283664,36.43581911179534,0.5800034879305211,0.999999580316892,0.07947063487110434,0.9266100752581746
q1,8,10.5,0.6069304255894045,0.787222087936122,0.9275660133370897,0.9651603367995297,0.9429140586616361,39.76844708033014,0.6330539172290693,1.0,0.07243398666291036,0.9283058209823969
q1,8,12.0,0.6175674728176326,0.7961788973531592,0.9306951763129684,0.9651603367995297,0.9434499611172784,40.95186509615024,0.6518921537114015,1.0,0.06930482368703168,0.9307319032591438
q1,8,13.5,0.6082316807526108,0.7872220909825598,0.928677547611304,0.9651603367995297,0.9429293433093596,39.853710390446324,0.634411181000419,1.0,0.07132245238869594,0.9283022870224075
q1,8,15.0,0.5830599116197199,0.7612808273284952,0.9215461414826501,0.9651603367995297,0.9454360174037434,36.5451448273112,0.5817437890371091,0.999999720069468,0.07845357858681787,0.9266107806800872
