吸收塔x坐标 (m),吸收塔y坐标 (m),定日镜序号,定日镜宽度 (m),定日镜高度 (m),定日镜x坐标 (m),定日镜y坐标 (m),定日镜z坐标 (m)
0.0,0.24918702340431764,1,7.090208526459055,6.940208526459054,19.652465531366165,235.68074357291897,3.6451042632295274
0.0,0.24918702340431764,2,7.090208526459055,7.090208526459055,3.6351461496453967,192.78382599606755,3.6451042632295274
0.0,0.24918702340431764,3,7.090208526459055,7.065208526459055,-18.532992906741605,333.86174748837186,4.4951042632295275
0.0,0.24918702340431764,4,7.090208526459055,6.940208526459054,-40.95313921726421,232.92294490993572,3.6451042632295274
0.0,0.24918702340431764,5,7.090208526459055,7.065208526459055,-104.74430383619851,317.5336700034944,4.4951042632295275
0.0,0.24918702340431764,6,7.090208526459055,6.940208526459054,-85.96095070622724,207.21797532345758,3.6451042632295274
0.0,0.24918702340431764,7,7.090208526459055,6.940208526459054,-72.66111170111212,212.25326062358116,3.6451042632295274
0.0,0.24918702340431764,8,7.090208526459055,6.940208526459054,-98.91465530223037,201.3492997611938,3.6451042632295274
0.0,0.24918702340431764,9,7.090208526459055,6.940208526459054,-2.8808620225964483,224.34083124673865,3.6451042632295274
0.0,0.24918702340431764,10,7.090208526459055,6.940208526459054,-59.06869204446324,216.43488034483357,3.6451042632295274
0.0,0.24918702340431764,11,7.090208526459055,7.090208526459055,-44.83605204568495,187.5258004294025,3.6451042632295274
0.0,0.24918702340431764,12,7.090208526459055,6.940208526459054,80.6119508637825,209.35939183093112,3.6451042632295274
0.0,0.24918702340431764,13,7.090208526459055,6.940208526459054,93.71224175554151,203.82565944067957,3.6451042632295274
0.0,0.24918702340431764,14,7.090208526459055,6.940208526459054,11.337708523623093,224.0723778284325,3.6451042632295274
0.0,0.24918702340431764,15,7.090208526459055,6.940208526459054,-17.087832354233292,223.70694670550688,3.6451042632295274
0.0,0.24918702340431764,16,7.090208526459055,7.090208526459055,-101.03400506195217,164.18494063744816,3.6451042632295274
0.0,0.24918702340431764,17,7.090208526459055,6.940208526459054,67.18706409738081,214.05111123056653,3.6451042632295274
0.0,0.24918702340431764,18,7.090208526459055,6.940208526459054,78.96209727593799,222.91311408518538,3.6451042632295274
0.0,0.24918702340431764,19,7.090208526459055,7.090208526459055,-61.89137159308987,169.7307193434205,3.6451042632295274
0.0,0.24918702340431764,20,7.090208526459055,6.940208526459054,-45.23842361287813,219.74599658047393,3.6451042632295274
0.0,0.24918702340431764,21,7.090208526459055,6.940208526459054,-31.22599601602359,222.17327663405916,3.6451042632295274
0.0,0.24918702340431764,22,7.090208526459055,6.940208526459054,25.510626119191578,222.90266741775503,3.6451042632295274
0.0,0.24918702340431764,23,7.090208526459055,7.090208526459055,-75.49975143365556,164.1220621695701,3.6451042632295274
0.0,0.24918702340431764,24,7.090208526459055,6.940208526459054,53.491638737114606,217.88192574147658,3.6451042632295274
0.0,0.24918702340431764,25,7.090208526459055,7.090208526459055,107.15016414344585,160.25432386561843,3.6451042632295274
0.0,0.24918702340431764,26,7.090208526459055,7.090208526459055,-4.2820737949905245,180.62711116942856,3.6451042632295274
0.0,0.24918702340431764,27,7.090208526459055,6.940208526459054,-111.47006549264253,194.6708650219667,3.6451042632295274
0.0,0.24918702340431764,28,7.090208526459055,7.090208526459055,-47.87111488592967,174.21150488216574,3.6451042632295274
0.0,0.24918702340431764,29,7.090208526459055,7.090208526459055,63.53089418049958,182.03649949732045,3.6451042632295274
0.0,0.24918702340431764,30,7.090208526459055,6.940208526459054,39.58082142719461,220.83641002568797,3.6451042632295274
0.0,0.24918702340431764,31,7.090208526459055,6.940208526459054,106.43518652490272,197.4721964470511,3.6451042632295274
0.0,0.24918702340431764,32,7.090208526459055,7.090208526459055,53.77938521527561,172.47668018602806,3.6451042632295274
0.0,0.24918702340431764,33,7.090208526459055,7.090208526459055,10.434649817164997,180.37594727408933,3.6451042632295274
0.0,0.24918702340431764,34,7.090208526459055,7.090208526459055,81.04764785007163,161.4503360676509,3.6451042632295274
0.0,0.24918702340431764,35,7.090208526459055,7.090208526459055,-33.53228380738162,177.53459989732303,3.6451042632295274
0.0,0.24918702340431764,36,7.090208526459055,7.090208526459055,-18.970300912532874,179.67788973983866,3.6451042632295274
0.0,0.24918702340431764,37,7.090208526459055,7.090208526459055,39.56229917266658,176.28712656879617,3.6451042632295274
0.0,0.24918702340431764,38,7.090208526459055,7.090208526459055,-88.60569288501246,157.42285804874325,3.6451042632295274
0.0,0.24918702340431764,39,7.090208526459055,6.940208526459054,-109.77295024000843,209.44798390425038,3.6451042632295274
0.0,0.24918702340431764,40,7.090208526459055,6.940208526459054,-123.57662507198083,187.20956280535916,3.6451042632295274
0.0,0.24918702340431764,41,7.090208526459055,7.090208526459055,25.08193255638336,178.92606950810531,3.6451042632295274
0.0,0.24918702340431764,42,7.090208526459055,6.940208526459054,118.72955436376395,190.32458600310582,3.6451042632295274
0.0,0.24918702340431764,43,7.090208526459055,7.090208526459055,67.63857832225098,167.5200882517989,3.6451042632295274
0.0,0.24918702340431764,44,7.090208526459055,7.090208526459055,14.666124193762112,148.41262037927214,3.6451042632295274
0.0,0.24918702340431764,45,7.090208526459055,7.090208526459055,93.91735865337074,154.30781683293088,3.6451042632295274
0.0,0.24918702340431764,46,7.090208526459055,7.065208526459055,162.78137817189076,292.04198207930153,4.4951042632295275
0.0,0.24918702340431764,47,7.090208526459055,7.090208526459055,-159.43037826898856,174.5942233903628,3.6451042632295274
0.0,0.24918702340431764,48,7.090208526459055,7.090208526459055,-101.12197806912992,149.67768907907316,3.6451042632295274
0.0,0.24918702340431764,49,7.090208526459055,7.090208526459055,-21.680279366329525,147.54977653092612,3.6451042632295274
0.0,0.24918702340431764,50,7.090208526459055,7.090208526459055,-56.62359944940907,184.30507385470332,3.6451042632295274
0.0,0.24918702340431764,51,7.090208526459055,7.090208526459055,50.138014797315556,140.4407618588762,3.6451042632295274
0.0,0.24918702340431764,52,7.090208526459055,7.090208526459055,51.873322035555354,185.6998811522175,3.6451042632295274
0.0,0.24918702340431764,53,7.090208526459055,7.090208526459055,106.16206493010509,146.14006283471326,3.6451042632295274
0.0,0.24918702340431764,54,7.090208526459055,7.090208526459055,142.9374904512771,188.35317699777968,3.6451042632295274
0.0,0.24918702340431764,55,7.090208526459055,7.090208526459055,-135.18558519775414,178.9954371419773,3.6451042632295274
0.0,0.24918702340431764,56,7.090208526459055,7.090208526459055,-112.96531317314933,140.93809808219,3.6451042632295274
0.0,0.24918702340431764,57,7.090208526459055,7.090208526459055,-33.61450554205338,145.29250193253344,3.6451042632295274
